Date,NewCases,TotalCases,NewDeaths,TotalDeaths
2020-02-29,2,4,1,1
2020-03-01,6,10,1,2
2020-03-02,4,14,3,5
2020-03-03,7,21,3,8
2020-03-04,10,31,1,9
2020-03-05,20,51,1,10
2020-03-06,7,58,1,11
2020-03-07,13,71,4,15
2020-03-08,12,83,2,17
2020-03-09,33,116,3,20
2020-03-10,74,190,2,22
2020-03-11,44,234,4,26
2020-03-12,36,270,1,27
2020-03-13,58,328,5,32
2020-03-14,60,388,3,35
2020-03-15,32,420,2,37
2020-03-16,68,488,6,43
2020-03-17,30,518,3,46
2020-03-18,44,562,10,56
2020-03-19,131,693,4,60
2020-03-20,100,793,7,67
2020-03-21,141,934,8,74
2020-03-22,106,1040,1,75
2020-03-23,130,1170,12,87
2020-03-24,107,1277,7,94
2020-03-25,82,1359,6,100
2020-03-26,218,1577,9,109
2020-03-27,251,1828,16,125
2020-03-28,249,2077,0,125
2020-03-29,82,2159,5,141
2020-03-30,171,2330,9,150
2020-03-31,0,2330,0,150
2020-04-01,166,2496,14,164
2020-04-02,175,2656,11,175
2020-04-03,131,2787,11,186
2020-04-04,111,2898,14,200
2020-04-05,269,3167,8,208
2020-04-06,164,3331,14,222
